Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,kleur,4.1.5,runtime,transitive runtime dependency,MIT,pkg:npm/kleur@4.1.5,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,ktx-parse,1.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/ktx-parse@1.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,leaflet,1.9.4,runtime,direct runtime dependency,BSD-2-Clause,pkg:npm/leaflet@1.9.4,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lerc,2.0.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/lerc@2.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lexical,0.35.0,runtime,transitive runtime dependency,MIT,pkg:npm/lexical@0.35.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lib0,0.2.117,runtime,transitive runtime dependency,MIT,pkg:npm/lib0@0.2.117,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lines-and-columns,1.2.4,runtime,transitive runtime dependency,MIT,pkg:npm/lines-and-columns@1.2.4,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,list,2.0.19,runtime,direct runtime dependency,MIT,pkg:npm/list@2.0.19,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,long,5.3.2,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/long@5.3.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,longest-streak,3.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/longest-streak@3.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,loose-envify,1.4.0,runtime,transitive runtime dependency,MIT,pkg:npm/loose-envify@1.4.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lru-cache,5.1.1,build,transitive build dependency,ISC,pkg:npm/lru-cache@5.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lucide-react,1.14.0,runtime,direct runtime dependency,ISC,pkg:npm/lucide-react@1.14.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,lz-string,1.5.0,runtime,transitive runtime dependency,MIT,pkg:npm/lz-string@1.5.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,markdown-table,3.0.4,runtime,transitive runtime dependency,MIT,pkg:npm/markdown-table@3.0.4,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-directive,3.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-directive@3.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-from-markdown,2.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-from-markdown@2.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-frontmatter,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-frontmatter@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-gfm-strikethrough,2.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-gfm-strikethrough@2.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-gfm-table,2.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-gfm-table@2.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-gfm-task-list-item,2.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-gfm-task-list-item@2.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-highlight-mark,1.2.2,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-highlight-mark@1.2.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-mdx,3.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-mdx@3.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-mdx-expression,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-mdx-expression@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-mdx-jsx,3.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-mdx-jsx@3.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-mdxjs-esm,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-mdxjs-esm@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-phrasing,4.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-phrasing@4.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-to-markdown,2.1.2,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-to-markdown@2.1.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mdast-util-to-string,4.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/mdast-util-to-string@4.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mersenne-twister,1.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/mersenne-twister@1.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,meshoptimizer,1.1.1,runtime,transitive runtime dependency,MIT,pkg:npm/meshoptimizer@1.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark,4.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/micromark@4.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-core-commonmark,2.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-core-commonmark@2.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-directive,3.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-directive@3.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-frontmatter,2.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-frontmatter@2.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-gfm-strikethrough,2.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-gfm-strikethrough@2.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-extension-gfm-table,2.1.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-extension-gfm-table@2.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
